,longitude,latitude,name
568,-8838753.8021,5411407.22409,30081062
569,-8838747.43463,5411408.77026,30081061
570,-8838741.06827,5411410.31642,30081060
571,-8838563.99792,5411387.54861,30061079
572,-8838579.43905,5411453.85219,30063478
573,-8838575.03636,5411454.26758,30063477
574,-8838801.98897,5411852.87763,7807904
575,-8838817.64161,5411951.71431,7853544
576,-8838665.31758,5411781.02015,14205027
577,-8838667.15769,5411786.34809,30019631
578,-8838666.45081,5411798.38867,30019630
579,-8838669.89726,5411810.20155,6925234
580,-8838668.29092,5411803.94894,30019632
581,-8838675.80499,5411990.98926,811172
582,-8838669.93957,5411992.59553,811170
583,-8838663.53758,5411994.38488,811168
584,-8839230.48218,5411761.24078,7808143
585,-8839189.83276,5411767.18413,7808140
586,-8839178.50155,5411742.11379,796650
587,-8839129.49871,5411797.66555,820157
588,-8839243.03902,5411979.81311,2750523
589,-8839244.68878,5411988.39216,2750524
590,-8839180.66003,5411974.61122,2767687
591,-8838702.46601,5411618.28782,30018009
592,-8839019.5362,5411911.97181,879014
593,-8839009.68554,5411914.46888,879013
594,-8839001.58259,5411907.54077,879012
595,-8839000.11318,5411917.07519,879011
596,-8838990.33153,5411910.84251,879010
597,-8838982.61153,5411912.97341,879009
598,-8838975.02288,5411915.15815,879008
599,-8838818.18262,5411967.92307,7849077
600,-8838574.21482,5411733.54882,869982
601,-8838704.31948,5412027.50879,811175
602,-8838697.74161,5412030.329,811173
603,-8838693.12408,5412031.55217,811171
604,-8839144.19288,5411391.13631,30029820
605,-8839134.39231,5411393.63479,30029822
606,-8839156.47365,5411738.20748,796649
607,-8839154.80719,5411750.28338,796648
608,-8839177.36386,5411774.71678,7808142
609,-8839128.01816,5411808.64763,820158
610,-8839132.15702,5411812.52629,820159
611,-8839116.51774,5411786.04961,14199608
612,-8838735.73495,5411411.86258,30081059
613,-8838729.19493,5411414.44414,30081058
614,-8838722.05267,5411416.33492,30081057
615,-8838636.89994,5411494.38813,14205031
616,-8838967.23051,5411917.68908,879007
617,-8838959.70309,5411919.84767,879006
618,-8838641.40281,5411785.12495,7807768
619,-8838687.94549,5412034.87087,811169
620,-8838681.47004,5412034.78933,811167
621,-8838705.47609,5412065.18856,14077891
622,-8839125.93648,5411418.44263,864451
623,-8839236.27636,5411782.35559,7808148
624,-8839233.03919,5411809.67845,7808131
625,-8839229.24876,5411810.94005,20364134
626,-8839225.99823,5411811.48162,20364135
627,-8839222.38703,5411812.3832,20364136
628,-8839219.49718,5411813.10478,20364137
629,-8839118.63615,5411793.07918,14199604
630,-8839150.84088,5411862.46739,7808883
631,-8839124.72867,5411872.9172,7808906
632,-8839115.93665,5411875.28811,7808905
633,-8838920.14459,5411511.80534,10560872
634,-8838715.66961,5411454.85221,20363523
635,-8838717.51195,5411462.42614,20363522
636,-8838640.6759,5411571.87274,30028662
637,-8838634.54219,5411573.67433,30028663
638,-8838627.50458,5411570.58348,14205048
639,-8838621.63581,5411572.78353,6925225
640,-8838611.77179,5411544.44289,14205032
641,-8838606.26704,5411547.37834,6925222
642,-8838599.6658,5411549.57685,14205033
643,-8838952.06991,5411921.99242,879005
644,-8838888.1202,5412060.62974,7846353
645,-8838424.75727,5411080.80474,30056662
646,-8839467.40568,5412283.07877,833545
647,-8839424.39517,5412335.41806,833538
648,-8839417.22953,5412327.09256,833536
649,-8839426.85978,5412343.68971,833540
650,-8839039.46573,5412411.61573,765179
651,-8839468.22165,5412805.85869,2812412
652,-8839470.10518,5412811.71808,2812414
653,-8839471.73378,5412817.93599,2812416
654,-8839476.47711,5412830.44875,2812421
655,-8839473.2199,5412823.78923,2812418
656,-8839479.17772,5412839.34095,2812423
657,-8839462.10465,5412780.23931,2812404
658,-8839073.28125,5412489.83582,765188
659,-8839063.03318,5412498.71539,14194986
660,-8839054.11537,5412460.71997,765185
661,-8839055.8642,5412467.39462,765186
662,-8839073.00184,5412518.05012,14238187
663,-8838709.74185,5412223.7622,30050681
664,-8838704.25825,5412225.22696,30050680
665,-8838898.17903,5412488.29256,14311727
666,-8838900.48112,5412495.54268,14311726
667,-8838902.20657,5412501.63421,14311725
668,-8838903.64482,5412507.43494,14311724
669,-8838068.50819,5410080.48027,20111252
670,-8838023.11544,5411037.46764,10223888
